Black cheeked waxbill,ブラックシークトゥウクビクル
Radiated tortoise,レイディエイティドゥトータス
African polecat,アフリカンポウケルトゥ
Hippopotamus,ヒポポタマス
Collared peccary,コラリードゥペカーリイ
Scottish highland cow,スコティッシュハイグランドゥカウ
Swallow,スワロウ
South American meadowlark,サウスアメリカンメドアワープ
Red howler monkey,レッドゥハウラーモンキー
Tree porcupine,トゥリーポーキュパイン
Leadbeateri's ground hornbill,レーデバリティーグラウンドゥホンブリル
Little heron,リトゥルヘロン
Lynx,リンクス
Dolphin,ドルフィン
Uinta ground squirrel,ユニータグラウンドゥスクワーレル
Rufous collared sparrow,ラファスコラリードゥスパロウ
Swainson's francolin,スウォーズンズフランショーン
Starling,スターリング
Burchell's gonolek,バーゼルフルゴンローク
Bohor reedbuck,ボバーリデックブック
Coqui francolin,コウキーフランショーン
Mountain goat,マウンテンゴウトゥ
Javan gold spotted mongoose,ジャバンゴウルドゥスポッティドゥモンゴス
Dusky gull,ダスキーガル
Flicker,フリッカー
Gaur,ガウアー
Steller sea lion,ステラーシーライオン
Turaco,テローコ
Burmese brown mountain tortoise,バーミースブラウンマウンテントータス
Neotropic cormorant,ニオトゥロピックコーモラントゥ
Langur,ランガー
Mouse,マウス
Otter,オッター
American badger,アメリカンバジャー
Giant otter,ジャイアントゥオッター
Striated heron,ストゥライエイティドゥヘロン
Guanaco,グアンコ
Black spider monkey,ブラックスパイダーモンキー
Madagascar fruit bat,マダガスカーフルートゥバットゥ
Western grey kangaroo,ウェスタングレイカンガルー
Indian peacock,インディアンピーココ
Beaver,ビーバー
Godwit,ゴッドゥウィー
Common wombat,コモンウォンバットゥ
Anteater,アントイーター
Indian star tortoise,インディアンスタートータス
Salmon,サモン
Crested porcupine,クレスティドゥポーキュパイン
Thomson's gazelle,トムソンズガゼル
Crested bunting,クレスティドゥバンティング
Striped hyena,ストゥライプトゥハイエナ
Mallard,マラードゥ
Red headed woodpecker,レッドゥヘッディドゥウッドゥカッパー
Eastern white pelican,イースタンホワイトゥペリカン
Tailless tenrec,トイールズテンレック
Gemsbok,ジャブソム
Mouflon,モウフォン
Pelican,ペリカン
Coyote,カイオウトゥ
Snake necked turtle,スネイクネックトゥタートゥル
Common goldeneye,コモンゴウルディネイ
Rhea,リー
Barasingha deer,バージッシュロンディアー
Killer whale,キラーホエイル
Red squirrel,レッドゥスクワーレル
Armadillo,マーディノウル
Corella,コレラル
Gerenuk,ジェレヌク
African bush squirrel,アフリカンブッシュスクワーレル
African skink,アフリカンスキンク
Caiman,サメイン
King vulture,キングバルチャー
Guerza,ゲール
Lory,ローリイ
Masked booby,マスクトゥブーバイ
Spoonbill,スプウンナル
Possum,ポッサム
Thirteen lined squirrel,サーティーンラインドゥスクワーレル
Blue racer,ブルーレイサー
Grebe,グリーブ
Lappet faced vulture,ラペトゥフェイストゥバルチャー
Gnu,グヌ
Badger,バジャー
Egyptian goose,エジプシャングース
Wambenger,ワンバンガー
Catfish,キャスティフ
Jaguarundi,ジャガードゥーニッグ
Chipmunk,キンパンク
Black rhinoceros,ブラックライノサラス
Madagascar hawk owl,マダガスカーホークアウル
Mule deer,ミュールディアー
Prehensile tailed porcupine,プリヘンスレイテイドゥポーキュパイン
White tailed deer,ホワイトゥテイドゥディアー
Indian red admiral,インディアンレッドゥアドゥミラル
Griffon vulture,グリフゴンバルチャー
White throated robin,ホワイトゥスロウティドゥロビン
Alpaca,アルパカ
Sacred ibis,セイクリドゥアイビス
Hanuman langur,ハムネインランガー
Rock dove,ロックダブ
African black crake,アフリカンブラッククライク
Eastern cottontail rabbit,イースタンコットンテイルラビットゥ
Magistrate black colobus,マジストゥレイトゥブラックコロバス
Tayra,テイラル
Black throated butcher bird,ブラックスロウティドゥブッチャーバードゥ
Lapwing,ラッピング
Lion,ライオン
Common genet,コモンジェネットゥ
Turtle,タートゥル
Peccary,ペカーリイ
Springbok,スプリングエム
Finch,フィンチ
Asiatic wild ass,エイジアティックワイルドゥアス
European spoonbill,ユーロピアンスプウンナル
Greater sage grouse,グレイターセイジグラウス
Huron,ヒューロン
Kite,カイトゥ
Pacific gull,パシフィックガル
Smith's bush squirrel,スミスブッシュスクワーレル
Spectacled caiman,スペクタクルサメイン
Tarantula,タランチュラ
Yak,ヤン
Golden eagle,ゴウルデンイーグル
Pie,パイ
Purple grenadier,パープルグレナディア
Bat,バットゥ
Bee eater,ビーイーター
Stanley bustard,スタンリーバスタードゥ
Snake,スネイク
Genoveva,エンボウバウ
Black backed magpie,ブラックバックトゥマッピイ
Greater kudu,グレイタークードゥー
Egyptian vulture,エジプシャンバルチャー
Red tailed wambenger,レッドゥテイドゥワンバンガー
Land iguana,ランドゥイグアナ
Greater rhea,グレイターリー
Sandpiper,サンドゥピアー
Grey phalarope,グレイファラポー
Ferret,フェレトゥ
Fairy penguin,フェアリーペングイン
Giant girdled lizard,ジャイアントゥガールドゥリザードゥ
Great skua,グレイトゥスカー
Native cat,ネイティブキャットゥ
Sambar,サンバー
Cobra,コブラ
Greater adjutant stork,グレイターアジュタントゥストーク
Hyrax,ハイラックス
Shark,シャーク
White eye,ホワイトゥアイ
Small spotted genet,スモールスポッティドゥジェネットゥ
Lizard,リザードゥ
Bent toed gecko,ベントゥトウドゥジェコ
Savannah deer,サバナディアー
Emerald green tree boa,エメラルドゥグリーントゥリーボウ
Rhesus macaque,リーサスマカク
Little cormorant,リトゥルコーモラントゥ
Quoll,クオル
Great cormorant,グレイトゥコーモラントゥ
Common mynah,コモンマイナ
Tapir,テイパー
Shrew,シュルー
Grey lourie,グレイルーリー
Gull,ガル
Red and blue macaw,レッドゥアンドゥブルーマカー
Marabou stork,マラボストーク
Southern lapwing,サザンラッピング
Arctic lemming,アークティックレミング
African snake,アフリカンスネイク
Hottentot teal,ホウテンテイドゥティール
Gonolek,ゴンローク
Silver backed fox,シルバーバックトゥフォックス
Yellow throated sandgrouse,イェロースロウティドゥサンドゥローズ
Red necked phalarope,レッドゥネックトゥファラポー
Brush tailed bettong,ブラッシュテイドゥベットング
Common ringtail,コモンリングショル
Japanese macaque,ジャパニーズマカク
Savanna baboon,サバナバブーン
Bare faced go away bird,ベアーフェイストゥゴーアウェイバードゥ
Beisa oryx,ヘビダオリックス
Brush tailed rat kangaroo,ブラッシュテイドゥラットゥカンガルー
Little brown dove,リトゥルブラウンダブ
Python,パイソン
Roseate cockatoo,ロウジエイトゥコッカトー
Paddy heron,パディーヘロン
Seal,シール
Sockeye salmon,ソッキーサモン
Violet crested turaco,バイオレットゥクレスティドゥテローコ
Southern sea lion,サザンシーライオン
Common long nosed armadillo,コモンロングノウストゥマーディノウル
Greylag goose,グリーガールグース
Cuis,キューズ
Greater flamingo,グレイターフラミンゴウ
Four spotted skimmer,フォースポッティドゥスキマー
Plains zebra,プレインスゼブラ
White browed sparrow weaver,ホワイトゥボーウドゥスパロウウィーバー
Crab eating raccoon,クラブイーティングラクーン
Whale,ホエイル
Yellow billed hornbill,イェロービレドゥホンブリル
Gecko,ジェコ
Southern screamer,サザンスクリーマー
Gray heron,グレイヘロン
Praying mantis,プレイジングマンティス
Hoary marmot,ホアリーマーモットゥ
Rat,ラットゥ
North American red fox,ノースアメリカンレッドゥフォックス
Black and white colobus,ブラックアンドゥホワイトゥコロバス
Sandgrouse,サンドゥローズ
Warthog,ワーストゥグ
American crow,アメリカンクロウ
Toddy cat,トディーキャットゥ
Bleeding heart monkey,ブリーディングハートゥモンキー
Bushbaby,バッチブ
Kongoni,コンゴニ
Black backed jackal,ブラックバックトゥジャッカル
Bleu,レビュー
Two toed sloth,トゥートウドゥスロウス
Eleven banded armadillo,イレブンバンディドゥマーディノウル
Red hartebeest,レッドゥハーティエストゥ
White necked stork,ホワイトゥネックトゥストーク
Pallas's fish eagle,パラスフィッシュイーグル
Mockingbird,モッキンガージ
Spotted deer,スポッティドゥディアー
Asian foreset tortoise,エイジアンフォアセトゥトータス
Two banded monitor,トゥーバンディドゥモニター
American buffalo,アメリカンバッファロー
Chameleon,カミーレオン
Coqui partridge,コウキーパートゥリッジ
Great white pelican,グレイトゥホワイトゥペリカン
Bushbuck,バビューシック
Crab eating fox,クラブイーティングフォックス
Pale throated three toed sloth,ペイルスロウティドゥスリートウドゥスロウス
Tyrant flycatcher,タイラントゥフライケイスター
Hudsonian godwit,ハドゥナインゴッドゥウィー
Gazelle,ガゼル
Striped dolphin,ストゥライプトゥドルフィン
Fork tailed drongo,フォークテイドゥドゥロンゴウ
Duiker,デューカー
Roller,ロウラー
Goat,ゴウトゥ
Vulture,バルチャー
Common melba finch,コモンメルバフィンチ
American racer,アメリカンレイサー
Galapagos penguin,ガラパゴスペングイン
Roe deer,ロウディアー
Vine snake,バインスネイク
Great horned owl,グレイトゥホーンドゥアウル
Chestnut weaver,チェスナットゥウィーバー
Elk,エルク
Oystercatcher,オイステイクトゥライス
Skink,スキンク
Western patch nosed snake,ウェスタンパッチノウストゥスネイク
Mississippi alligator,ミシシッピアリゲイター
Common duiker,コモンデューカー
Tinamou,ティニア
Steller's sea lion,ステラーズシーライオン
Least chipmunk,リーストゥキンパンク
Porcupine,ポーキュパイン
Waxbill,ウクビクル
Ring dove,リングダブ
Cook's tree boa,クックストゥリーボウ
Bateleur eagle,ベテリーイーグル
Common boubou shrike,コモンボウバウシュライク
Field flicker,フィールドゥフリッカー
Indian leopard,インディアンレパードゥ
House crow,ハウスクロウ
Cape cobra,ケイプコブラ
Downy woodpecker,ダウニーウッドゥカッパー
Pintail,ピンテイル
Oribi,オリビー
Galapagos albatross,ガラパゴスアルバトゥロス
Albatross,アルバトゥロス
Serval,サーバル
Zorro,ザーロウ
Asian elephant,エイジアンエレファントゥ
Crimson breasted shrike,クリムゾンブレスティドゥシュライク
Frilled lizard,フリリドゥリザードゥ
Gelada baboon,ジェラダバブーン
Genet,ジェネットゥ
Trumpeter swan,トゥランペッタースワン
Desert kangaroo rat,デザートゥカンガルーラットゥ
Goliath heron,ゴライエスヘロン
African fish eagle,アフリカンフィッシュイーグル
Bettong,ベットング
Nilgai,ニグレイ
Dik,ディック
Sloth bear,スロウスベアー
Klipspringer,クリスプレイジャン
Curve billed thrasher,カーブビレドゥスラッシャー
Gambel's quail,ガンブルズクエイル
Blue tongued lizard,ブルータングリザードゥ
Crown of thorns starfish,クラウンオブソーンズスターリフス
Netted rock dragon,ネッティドゥロックドゥラゴン
Nighthawk,ニガーコウ
Fat tailed dunnart,ファットゥテイドゥデュナントゥ
Carmine bee eater,カーミンビーイーター
Galapagos sea lion,ガラパゴスシーライオン
Weaver,ウィーバー
Tiger cat,タイガーキャットゥ
Red billed tropic bird,レッドゥビレドゥトゥロピックバードゥ
Knob nosed goose,ノブノウストゥグース
Galapagos mockingbird,ガラパゴスモッキンガージ
Koala,コアラ
Ringtail cat,リングショルキャットゥ
Common langur,コモンランガー
Cape fox,ケイプフォックス
Southern boubou,サザンボウバウ
Black tailed deer,ブラックテイドゥディアー
Wood pigeon,ウッドゥピジョン
Northern fur seal,ノーザンファーシール
Bee eater,ビーイーター
Woodpecker,ウッドゥカッパー
Blackbird,ブルビックードゥ
Dusky rattlesnake,ダスキーラトゥルートナス
Bushpig,ブイシッパシ
Rattlesnake,ラトゥルートナス
Small clawed otter,スモールクロードゥオッター
Marten,マーテン
Cottonmouth,コットンマウス
American beaver,アメリカンビーバー
Lesser double collared sunbird,レサーダブルコラリードゥサンバイドゥ
Owl,アウル
North American beaver,ノースアメリカンビーバー
Red cheeked cordon bleu,レッドゥシークトゥコードンレビュー
Long tailed spotted cat,ロングテイドゥスポッティドゥキャットゥ
Red brocket,レッドゥエブロケットゥ
Indian tree pie,インディアントゥリーパイ
Spider,スパイダー
Tokay gecko,トケイジェコ
Hoopoe,フットゥ
Indian giant squirrel,インディアンジャイアントゥスクワーレル
Egret,イーグレトゥ
Black kite,ブラックカイトゥ
Eland,イランドゥ
Cape starling,ケイプスターリング
Black fronted bulbul,ブラックフロンティドゥバルビュール
Savanna fox,サバナフォックス
Eastern quoll,イースタンクオル
Cardinal,カーディナル
Caracal,カラカル
Burrowing owl,ブイロウイイングアウル
Common waterbuck,コモンワートゥバーキュ
South American sea lion,サウスアメリカンシーライオン
Bandicoot,バンディクート
Sea birds,シーバーズ
Common grenadier,コモングレナディア
Herring gull,ヘリングガル
Common wolf,コモンウルフ
Zorilla,ゾリアル
Northern phalarope,ノーザンファラポー
American bighorn sheep,アメリカンジョービンシープ
Eagle owl,イーグルアウル
Adouri,ユードーリ
Salmon pink bird eater tarantula,サモンピンクバードゥイータータランチュラ
Australian masked owl,オーストゥレイリアンマスクトゥアウル
Yellow billed stork,イェロービレドゥストーク
Andean goose,アンディーングース
Deer,ディアー
Defassa waterbuck,デフィスダワートゥバーキュ
Green backed heron,グリーンバックトゥヘロン
Pocket gopher,ポケットゥゴウファー
Rainbow lory,レインボウローリイ
Red legged pademelon,レッドゥレッグドゥパデムオーレン
Goldeneye,ゴウルディネイ
Red billed hornbill,レッドゥビレドゥホンブリル
American black bear,アメリカンブラックベアー
Constrictor,コンストゥリクター
Ground monitor,グラウンドゥモニター
African lynx,アフリカンリンクス
Lark,ラーク
Kori bustard,コリバスタードゥ
Dassie,ダシー
Red billed toucan,レッドゥビレドゥトゥーカン
Lechwe,レッチョー
Blackish oystercatcher,ブラッキッシュオイステイクトゥライス
White browed owl,ホワイトゥボーウドゥアウル
Blue catfish,ブルーキャスティフ
European beaver,ユーロピアンビーバー
Roan antelope,ロウンアンテロウプ
Cockatoo,コッカトー
Royal tern,ロイヤルターン
Australian brush turkey,オーストゥレイリアンブラッシュターキー
Canadian tiger swallowtail butterfly,カナディアンタイガーシュロワーツバタフライ
Macaw,マカー
Monitor,モニター
Cape white eye,ケイプホワイトゥアイ
Onager,オナジャー
Pied kingfisher,パイドゥキングフィッシャー
Southern ground hornbill,サザングラウンドゥホンブリル
Springhare,スプリンガーバー
Woodrat,ウードゥレットゥ
Asiatic jackal,エイジアティックジャッカル
Glossy ibis,グロシイアイビス
Flamingo,フラミンゴウ
Saddle billed stork,サドゥルビレドゥストーク
Eagle,イーグル
Sidewinder,シディウダン
Dog,ドッグ
Southern tamandua,サザンタマンダ
Squirrel glider,スクワーレルグライダー
Skunk,スカンク
Yellow headed caracara,イェローヘッディドゥカラカー
Jackrabbit,ジャクラブディック
Crow,クロウ
Malabar squirrel,マラバースクワーレル
Galapagos hawk,ガラパゴスホーク
Asian water buffalo,エイジアンウォーターバッファロー
Collared lemming,コラリードゥレミング
Nyala,ニアラ
Laughing kookaburra,ラフィングクーカバーラ
Giant heron,ジャイアントゥヘロン
Coke's hartebeest,コウズハーティエストゥ
Tiger,タイガー
European shelduck,ユーロピアンシェルデック
Sportive lemur,スポーティブリーマー
Campo flicker,カンポウフリッカー
Raccoon dog,ラクーンドッグ
Seven banded armadillo,セブンバンディドゥマーディノウル
Crocodile,クロコダイル
Nubian bee eater,ヌビアンビーイーター
Snowy owl,スノウイーアウル
Polecat,ポウケルトゥ
White throated kingfisher,ホワイトゥスロウティドゥキングフィッシャー
Baboon,バブーン
Gazer,ゲイザア
Turtle,タートゥル
White cheeked pintail,ホワイトゥシークトゥピンテイル
European wild cat,ユーロピアンワイルドゥキャットゥ
Asian red fox,エイジアンレッドゥフォックス
Chimpanzee,チンパンジーー
Caracara,カラカー
Black curlew,ブラックカール
Kafue flats lechwe,カフィューフラッツレッチョー
Red capped cardinal,レッドゥキャップトゥカーディナル
Red necked wallaby,レッドゥネックトゥワラビー
Stilt,スティルトゥ
Puna ibis,ピューナアイビス
Long billed corella,ロングビレドゥコレラル
Hornbill,ホンブリル
Osprey,オスプリー
Parakeet,パラキートゥ
Teal,ティール
Fowl,ファウル
Ibis,アイビス
Pampa gray fox,パンパグレイフォックス
Desert spiny lizard,デザートゥスパイニーリザードゥ
Dragonfly,ドゥラグノフリー
Fisher,フィッシャー
Ring tailed possum,リングテイドゥポッサム
Boubou,ボウバウ
Antelope ground squirrel,アンテロウプグラウンドゥスクワーレル
Hyena,ハイエナ
African ground squirrel,アフリカングラウンドゥスクワーレル
Flying fox,フライングフォックス
Manatee,マネットゥ
Robin,ロビン
Cape clawless otter,ケイプクローレスオッター
Brown brocket,ブラウンエブロケットゥ
Hoffman's sloth,ホフマンズスロウス
Red meerkat,レッドゥメレクター
Sparrow,スパロウ
Cape raven,ケイプレイブン
Vervet monkey,バーベットゥモンキー
Ass,アス
Chilean flamingo,チリーンフラミンゴウ
Oriental white backed vulture,オリエンタルホワイトゥバックトゥバルチャー
Fringe eared oryx,フリンジアーエドゥオリックス
Levaillant's barbet,レバリンタスバーブットゥ
Red tailed hawk,レッドゥテイドゥホーク
Asian water dragon,エイジアンウォータードゥラゴン
Sloth,スロウス
Bird,バードゥ
African wild dog,アフリカンワイルドゥドッグ
Comb duck,コウムダック
Dingo,ディンゴウ
Racer,レイサー
Suricate,サリケイトゥ
Little blue penguin,リトゥルブルーペングイン
Bald eagle,ボールドゥイーグル
Canadian river otter,カナディアンリバーオッター
Cobra,コブラ
Eurasian beaver,ユーレイジャンビーバー
Arctic hare,アークティックヘアー
Ovenbird,オウバンバートゥ
Civet,シビートゥ
Little brown bat,リトゥルブラウンバットゥ
Carpet python,カーペットゥパイソン
Long tailed skua,ロングテイドゥスカー
Whip tailed wallaby,ウィップテイドゥワラビー
Goanna lizard,ゴーナリザードゥ
European stork,ユーロピアンストーク
Javanese cormorant,ジャバニーズコーモラントゥ
Swamp deer,スワンプディアー
Black tailed tree creeper,ブラックテイドゥトゥリークリーパー
Coatimundi,クォーティミンドゥ
Antechinus,アンシーニシュ
Shelduck,シェルデック
Tenrec,テンレック
Painted stork,ペインティドゥストーク
Golden jackal,ゴウルデンジャッカル
Egyptian viper,エジプシャンバイパー
Slender billed cockatoo,スレンダビレドゥコッカトー
Jungle cat,ジャングルキャットゥ
Siskin,シッキン
White headed vulture,ホワイトゥヘッディドゥバルチャー
Brown pelican,ブラウンペリカン
Barking gecko,バーキングジェコ
Sifaka,シファーカ
Giant armadillo,ジャイアントゥマーディノウル
Kingfisher,キングフィッシャー
Chickadee,チケディイ
Jaguar,ジャガー
Moose,ムース
Emu,イーミュー
Australian spiny anteater,オーストゥレイリアンスパイニーアントイーター
Colobus,コロバス
Crested barbet,クレスティドゥバーブットゥ
Spur winged goose,スパーリングドゥグース
Crab,クラブ
Cliffchat,クリフックトゥ
Water monitor,ウォーターモニター
Mudskipper,マックスパップリイ
African elephant,アフリカンエレファントゥ
Short beaked echidna,ショートゥビークドゥエキダン
Carpet snake,カーペットゥスネイク
Civet,シビートゥ
Sheathbill,シャブリュー
Numbat,ナムベイ
Pied butcher bird,パイドゥブッチャーバードゥ
Pied cormorant,パイドゥコーモラントゥ
Red tailed phascogale,レッドゥテイドゥファスカグル
Pygmy possum,ピグミーポッサム
Black faced kangaroo,ブラックフェイストゥカンガルー
Red kangaroo,レッドゥカンガルー
Openbill,オペンブル
Dragon,ドゥラゴン
Kangaroo,カンガルー
Magellanic penguin,マジェリンクペングイン
Pine snake,パインスネイク
Common palm civet,コモンパームシビートゥ
Grey mouse lemur,グレイマウスリーマー
Sarus crane,サーラスクレイン
Brown and yellow marshbird,ブラウンアンドゥイェローマーシャブドゥ
Australian pelican,オーストゥレイリアンペリカン
Eastern box turtle,イースタンボックスタートゥル
Kalahari scrub robin,カラリュースクラブロビン
Yellow rumped siskin,イェローランプトゥシッキン
Nelson ground squirrel,ネルソングラウンドゥスクワーレル
Marmot,マーモットゥ
American woodcock,アメリカンッッドゥキック
Cereopsis goose,シーオペシスグース
Stone sheep,ストウンシープ
Spotted hyena,スポッティドゥハイエナ
Arboral spiny rat,アーバーラルスパイニーラットゥ
Black capped capuchin,ブラックキャップトゥコグイーインチ
Tammar wallaby,タマーワラビー
Blue tongued skink,ブルータングスキンク
Lemur,リーマー
Western palm tanager,ウェスタンパームタニャジャー
Quail,クエイル
Lilac breasted roller,ライラックブレスティドゥロウラー
Civet cat,シビートゥキャットゥ
Puffin,パフィン
Stanley crane,スタンリークレイン
Bennett's wallaby,メンテッツワラビー
Emerald spotted wood dove,エメラルドゥスポッティドゥウッドゥダブ
Grey footed squirrel,グレイフッティドゥスクワーレル
Weeper capuchin,ウィーパーコグイーインチ
Black collared barbet,ブラックコラリードゥバーブットゥ
Nutcracker,カントゥラキュアー
Pheasant,フェザントゥ
Woylie,ワイリ
Black swan,ブラックスワン
Common shelduck,コモンシェルデック
Reindeer,レインディアー
Hawk eagle,ホークイーグル
Kaffir cat,カフィアーキャットゥ
Marshbird,マーシャブドゥ
Viper,バイパー
Tropical buckeye butterfly,トゥロピカルブイクテイバタフライ
Lemming,レミング
Agouti,アグーチ
Ferruginous hawk,ファールジナスホーク
Egyptian cobra,エジプシャンコブラ
Grey fox,グレイフォックス
Lesser masked weaver,レサーマスクトゥウィーバー
American marten,アメリカンマーテン
Pied avocet,パイドゥオーボケトゥ
Buttermilk snake,ベッタームリクスネイク
Large cormorant,ラージコーモラントゥ
Southern brown bandicoot,サザンブラウンバンディクート
Antelope,アンテロウプ
Brolga crane,ラボルクレイン
Grouse,グラウス
Galapagos tortoise,ガラパゴストータス
Malleefowl,マリオファール
Openbill stork,オペンブルストーク
Red winged blackbird,レッドゥリングドゥブルビックードゥ
Wild turkey,ワイルドゥターキー
Buffalo,バッファロー
Capuchin,コグイーインチ
Argalis,アーガリス
Two toed tree sloth,トゥートウドゥトゥリースロウス
White spoonbill,ホワイトゥスプウンナル
Worm snake,ワームスネイク
Shrike,シュライク
Brown hyena,ブラウンハイエナ
Paradoxure,パラドクソール
Lesser flamingo,レサーフラミンゴウ
Green vine snake,グリーンバインスネイク
Sable antelope,セイブルアンテロウプ
South American puma,サウスアメリカンピューマ
Toucan,トゥーカン
Partridge,パートゥリッジ
Waved albatross,ウェイブトゥアルバトゥロス
Stork,ストーク
White faced whistling duck,ホワイトゥフェイストゥホイッスリングダック
Rabbit,ラビットゥ
Loris,ロリス
Sally lightfoot crab,サリーライフトゥットゥクラブ
Black throated cardinal,ブラックスロウティドゥカーディナル
Blue and yellow macaw,ブルーアンドゥイェローマカー
Gray langur,グレイランガー
African pied wagtail,アフリカンパイドゥワットイジャル
Canada goose,カナダグース
Eastern boa constrictor,イースタンボウコンストゥリクター
Plover,プルバー
Ostrich,オストゥリッチ
Sociable weaver,ソウシャブルウィーバー
Bunting,バンティング
Cape wild cat,ケイプワイルドゥキャットゥ
Australian magpie,オーストゥレイリアンマッピイ
Square lipped rhinoceros,スクェアーリップトゥライノサラス
Camel,キャメル
Blacksmith plover,エブルーシーマックスプルバー
American alligator,アメリカンアリゲイター
Magnificent frigate bird,マグニフィセントゥフリゲットゥバードゥ
Crab,クラブ
Rufous tree pie,ラファストゥリーパイ
